Player,Games Played,Avg FPTS,Projected Avg FPTS,Consistency Value,Injury Risk Value,Consistency and Injury Risk,Overall Score
devon carter,72.0,10.14,9.96,0.238,0.9689,0.73,9.31
monte morris,33.0,13.61,13.46,0.33,0.7067,0.58,9.3
jordan mclaughlin,56.0,11.59,11.78,0.315,0.6422,0.53,9.29
jarace walker,33.0,10.12,13.28,0.202,0.8,0.6,9.26
julian strawther,50.0,8.12,11.6,0.185,0.8689,0.64,9.22
vit krejci,22.0,15.82,16.53,0.385,0.3044,0.33,9.14
max christie,67.0,9.27,10.15,0.242,0.9044,0.68,9.07
evan fournier,32.0,13.72,12.97,0.3,0.62,0.51,8.59
thomas bryant,38.0,12.82,12.68,0.262,0.5267,0.44,8.48
dalen terry,59.0,9.34,10.23,0.245,0.7556,0.59,8.42
patrick baldwin jr,38.0,11.26,12.33,0.205,0.6222,0.48,8.41
derrick rose,24.0,15.38,14.77,0.355,0.3067,0.32,8.26
garrison mathews,66.0,9.42,9.58,0.28,0.76,0.6,8.25
richaun holmes,40.0,12.7,12.1,0.26,0.5022,0.42,8.13
keita bates-diop,53.0,10.0,9.82,0.29,0.8022,0.63,7.93
charles bassey,19.0,14.11,14.74,0.295,0.2956,0.3,7.78
kj martin,60.0,8.85,8.94,0.25,0.9444,0.71,7.76
andre jackson jr,57.0,6.74,9.15,0.22,0.8978,0.67,7.69
sandro mamukelashvili,46.0,10.3,10.76,0.222,0.5444,0.44,7.63
johnny juzang,20.0,12.2,13.36,0.248,0.4911,0.41,7.61
dru smith,9.0,13.67,14.97,0.258,0.4222,0.37,7.51
ricky council iv,32.0,8.34,10.73,0.21,0.7978,0.6,7.43
jt thor,63.0,8.27,8.64,0.22,0.8356,0.63,7.4
oshae brissett,55.0,8.76,8.91,0.302,0.8156,0.64,7.31
jared rhoden,17.0,11.94,13.07,0.31,0.4644,0.41,7.25
marjon beauchamp,48.0,8.65,9.47,0.285,0.7333,0.58,7.25
chris duarte,59.0,8.53,8.91,0.218,0.6667,0.52,7.13
zeke nnaji,58.0,8.78,8.87,0.27,0.6689,0.54,7.11
caleb houstan,59.0,7.8,8.54,0.208,0.7911,0.6,7.06
kobe bufkin,17.0,10.41,11.49,0.29,0.7356,0.59,7.06
devonte graham,23.0,10.78,10.59,0.268,0.8422,0.65,7.04
aj green,56.0,7.88,8.63,0.205,0.7311,0.56,6.89
seth curry,44.0,10.07,9.57,0.235,0.6222,0.49,6.85
alex len,48.0,9.9,9.57,0.31,0.4933,0.43,6.85
mouhamed gueye,6.0,13.83,12.72,0.162,0.6911,0.51,6.78
deandre jordan,36.0,10.81,10.51,0.252,0.4644,0.39,6.75
shake milton,48.0,8.77,8.62,0.282,0.7978,0.63,6.74
jaden springer,49.0,8.94,9.34,0.212,0.42,0.35,6.48
stanley umude,24.0,10.12,11.08,0.232,0.4667,0.39,6.46
jeff dowtin,12.0,13.33,13.93,0.22,0.1911,0.2,6.4
kobe brown,44.0,5.73,8.32,0.155,0.8444,0.61,6.29
jericho sims,45.0,8.4,8.78,0.24,0.5689,0.46,6.24
kenneth lofton jr,21.0,9.9,10.84,0.16,0.5111,0.39,6.15
anthony gill,50.0,7.88,7.96,0.215,0.6356,0.5,5.96
ousmane dieng,33.0,8.27,9.05,0.195,0.6178,0.48,5.95
gui santos,23.0,7.78,9.12,0.23,0.76,0.58,5.85
johnny davis,50.0,6.96,7.62,0.238,0.68,0.53,5.78
orlando robinson,36.0,7.69,8.42,0.152,0.6133,0.46,5.61
pj tucker,31.0,7.87,7.57,0.255,0.8622,0.66,5.35
nassir little,45.0,7.31,7.43,0.218,0.5778,0.46,5.28
gabe vincent,11.0,8.55,8.69,0.238,0.8044,0.62,5.17
lindy waters,38.0,7.63,7.97,0.23,0.4578,0.38,5.17
matt ryan,28.0,8.68,9.07,0.212,0.3311,0.29,5.16
svi myhaluk,41.0,7.88,7.74,0.185,0.4844,0.38,5.14
jalen mcdaniels,50.0,6.1,6.2,0.155,0.8178,0.6,4.85
brandon boston jr,32.0,7.69,8.03,0.202,0.3778,0.32,4.81
julian phillips,40.0,4.5,6.5,0.16,0.8289,0.61,4.78
jeremiah robinson-earl,39.0,6.69,6.99,0.22,0.5022,0.41,4.64
onuralp bitim,23.0,5.61,7.15,0.0,0.76,0.51,4.42
aj lawson,42.0,5.76,6.31,0.165,0.6022,0.46,4.39
keon johnson,5.0,9.6,10.03,0.265,0.2289,0.24,4.39
garrett temple,27.0,7.74,7.36,0.218,0.36,0.31,4.2
yuta watanabe,34.0,6.56,6.44,0.235,0.5067,0.42,4.14
trevelin queen,14.0,8.57,8.95,0.18,0.14,0.15,4.06
moussa diabate,11.0,7.0,7.66,0.295,0.4533,0.4,4.0
cody zeller,43.0,6.19,5.98,0.248,0.4022,0.35,3.97
chuma okeke,47.0,5.26,5.31,0.142,0.6844,0.5,3.9
cory joseph,26.0,6.65,6.39,0.3,0.4956,0.43,3.87
drew peterson,3.0,8.33,7.16,0.275,0.6778,0.54,3.78
adama sanogo,9.0,7.0,6.86,0.132,0.7022,0.51,3.76
jordan walsh,9.0,6.78,6.64,0.282,0.7022,0.56,3.75
luka garza,25.0,5.8,6.06,0.178,0.3244,0.28,3.34
jd davison,8.0,6.25,6.84,0.168,0.4089,0.33,3.31
leonard miller,17.0,4.82,5.4,0.235,0.7356,0.57,3.28
jalen pickett,27.0,3.67,4.88,0.0,0.7756,0.52,3.13
raj gibson,20.0,5.9,5.67,0.222,0.3889,0.33,3.08
dariq whitehead,2.0,6.5,5.46,0.422,0.6756,0.59,2.95
josh minott,32.0,3.72,4.07,0.265,0.5467,0.45,2.62
emoni bates,15.0,3.93,4.36,0.138,0.7267,0.53,2.55
