Player,Injury Risk Value,Scaled Injury Risk Value
bol bol,1.24,0.7244
chris paul,1.26,0.72
lauri markannen,1.27,0.7178
kyle lowry,1.27,0.7178
kristaps porzingis,1.27,0.7178
malcolm brogdon,1.28,0.7156
tristan vukcevic,1.32,0.7067
bones hyland,1.32,0.7067
monte morris,1.32,0.7067
isaiah jackson,1.32,0.7067
haywood highsmith,1.33,0.7044
adama sanogo,1.34,0.7022
seth lundy,1.34,0.7022
jordan walsh,1.34,0.7022
jacob toppin,1.34,0.7022
brandon ingram,1.35,0.7
jose alvarado,1.36,0.6978
mouhamed gueye,1.39,0.6911
chimezie metu,1.4,0.6889
keon ellis,1.41,0.6867
wendell carter jr,1.41,0.6867
mitchell robinson,1.41,0.6867
chuma okeke,1.42,0.6844
jerami grant,1.43,0.6822
xavier tillman,1.43,0.6822
johnny davis,1.44,0.68
kyrie irving,1.44,0.68
dario saric,1.45,0.6778
drew peterson,1.45,0.6778
dariq whitehead,1.46,0.6756
jamal murray,1.49,0.6689
zeke nnaji,1.49,0.6689
chris duarte,1.5,0.6667
gary payton ii,1.53,0.66
day’ron sharpe,1.53,0.66
cameron johnson,1.54,0.6578
vince williams jr,1.55,0.6556
goga bitadze,1.56,0.6533
gary harris,1.6,0.6444
jordan mclaughlin,1.61,0.6422
kai jones,1.62,0.64
marcus smart,1.63,0.6378
anthony gill,1.64,0.6356
anfernee simons,1.65,0.6333
josh richardson,1.66,0.6311
nikola jovic,1.7,0.6222
seth curry,1.7,0.6222
patrick baldwin jr,1.7,0.6222
evan fournier,1.71,0.62
bradley beal,1.71,0.62
jake laravia,1.72,0.6178
ousmane dieng,1.72,0.6178
dean wade,1.72,0.6178
orlando robinson,1.74,0.6133
khris middleton,1.78,0.6044
aj lawson,1.79,0.6022
lamelo ball,1.85,0.5889
dalano banton,1.86,0.5867
ziaire williams,1.87,0.5844
kris dunn,1.89,0.58
nassir little,1.9,0.5778
marvin bagley iii,1.9,0.5778
cade cunningham,1.91,0.5756
jericho sims,1.94,0.5689
damion lee,1.96,0.5644
cam reddish,1.99,0.5578
mark williams,2.01,0.5533
wendell moore jr,2.04,0.5467
josh minott,2.04,0.5467
sandro mamukelashvili,2.05,0.5444
cody martin,2.05,0.5444
thomas bryant,2.13,0.5267
daniel theis,2.15,0.5222
maxi kleber,2.15,0.5222
kenneth lofton jr,2.2,0.5111
yuta watanabe,2.22,0.5067
jeremiah robinson-earl,2.24,0.5022
richaun holmes,2.24,0.5022
steven adams,2.26,0.4978
cory joseph,2.27,0.4956
alex len,2.28,0.4933
christian koloko,2.29,0.4911
johnny juzang,2.29,0.4911
svi myhaluk,2.32,0.4844
sam merrill,2.38,0.4711
dante exum,2.4,0.4667
stanley umude,2.4,0.4667
jonathan isaac,2.41,0.4644
deandre jordan,2.41,0.4644
jared rhoden,2.41,0.4644
lindy waters,2.44,0.4578
moussa diabate,2.46,0.4533
cole swider,2.48,0.4489
kendall brown,2.56,0.4311
dru smith,2.6,0.4222
jaden springer,2.61,0.42
jd davison,2.66,0.4089
cody zeller,2.69,0.4022
raj gibson,2.75,0.3889
brandon boston jr,2.8,0.3778
ej liddel,2.8,0.3778
quenton jackson,2.82,0.3733
jared bulter,2.85,0.3667
ron harper,2.87,0.3622
garrett temple,2.88,0.36
ja morant,2.89,0.3578
matt ryan,3.01,0.3311
brandon clarke,3.03,0.3267
luka garza,3.04,0.3244
derrick rose,3.12,0.3067
vit krejci,3.13,0.3044
charles bassey,3.17,0.2956
ben simmons,3.31,0.2644
rob williams,3.39,0.2467
neemias queta,3.41,0.2422
vlatko cancar,3.43,0.2378
ty jerome,3.43,0.2378
keon johnson,3.47,0.2289
james johnson,3.57,0.2067
jeff dowtin,3.64,0.1911
daquan jeffries,3.72,0.1733
mamadi diakite,3.87,0.14
trevelin queen,3.87,0.14
lonzo ball,4.31,0.0422
